file_path,line,builtin,tag,sentinel_body,priority,carve_out,axis,param,range
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,106,quantize,swing,"[strict] swing strength {value} outside [0.0, 1.0]",HIGH,false,B,strength,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,107,quantize,swing,"[strict] swing factor {value} outside [-1.0, 1.0]",HIGH,false,B,swing,"[-1.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,649,crescendo,crescendo,"[strict] crescendo startVel {value} outside [0.0, 1.0]",HIGH,false,B,startVel,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,650,crescendo,crescendo,"[strict] crescendo endVel {value} outside [0.0, 1.0]",HIGH,false,B,endVel,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,657,decrescendo,decrescendo,"[strict] decrescendo startVel {value} outside [0.0, 1.0]",HIGH,false,B,startVel,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,658,decrescendo,decrescendo,"[strict] decrescendo endVel {value} outside [0.0, 1.0]",HIGH,false,B,endVel,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,666,swell,swell,"[strict] swell edgeVel {value} outside [0.0, 1.0]",HIGH,false,B,edgeVel,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,667,swell,swell,"[strict] swell peakVel {value} outside [0.0, 1.0]",HIGH,false,B,peakVel,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,785,humanize,humanize,"[strict] humanize amount {value} outside [0.0, 1.0]",HIGH,false,B,amount,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,821,humanizeGaussian,humanizeGaussian,"[strict] humanizeGaussian amount {value} outside [0.0, 1.0]",HIGH,false,B,amount,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,904,vary,vary,"[strict] vary amount {value} outside [0.0, 1.0]",HIGH,false,B,amount,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,960,legato,legato,"[strict] legato amount {value} outside [0.0, 1.0]",HIGH,false,B,amount,"[0.0, 1.0]"
flow-lang/StandardLibrary/Transforms/TransformFunctions.cs,1106,repeat,repeat,"[strict] repeat reps {value} outside [1, 16]",HIGH,false,B,reps,"[1, 16]"
flow-lang/StandardLibrary/Audio/Sfz/SfzBuiltins.cs,277,loadSfz,sfz,"[strict] [sfz] missing sample '{path}'",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,252,loadSfz,sfz,"[strict] [sfz] unsupported opcode '{name}' ignored",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,276,loadSfz,sfz,"[strict] [sfz] unsupported opcode '{name}' ignored",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,322,loadSfz,sfz,"[strict] [sfz] unsupported opcode '{name}' ignored",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,331,loadSfz,sfz,"[strict] [sfz] unsupported opcode '{name}' ignored",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,354,loadSfz,sfz,"[strict] [sfz] unsupported opcode '{name}' ignored",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,495,loadSfz,sfz,"[strict] [sfz] malformed header",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,520,loadSfz,sfz,"[strict] [sfz] unsupported opcode '{name}' ignored",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,564,loadSfz,sfz,"[strict] [sfz] malformed include",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,585,loadSfz,sfz,"[strict] [sfz] include cycle detected",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzParser.cs,602,loadSfz,sfz,"[strict] [sfz] include depth > 8",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzRenderer.cs,169,renderSong,sfz,"[strict] [sfz] seq_length > 100 clamped to 100",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzRenderer.cs,188,renderSong,sfz,"[strict] [sfz] velocity-layer crossfade fallback",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzRenderer.cs,226,renderSong,sfz,"[strict] [sfz] region pan clamped to [-1, +1]",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzRenderer.cs,240,renderSong,sfz,"[strict] [sfz] sample loop start out of range",HIGH,false,B,,
flow-lang/StandardLibrary/Audio/Sfz/SfzRenderer.cs,259,renderSong,sfz,"[strict] [sfz] sample loop end out of range",HIGH,false,B,,
flow-lang/StandardLibrary/Patterns/PatternFunctions.cs,129,every,patterns,"[strict] [every] lambda did not return Sequence",HIGH,false,B,,
flow-lang/StandardLibrary/Patterns/PatternFunctions.cs,203,fast,patterns,"[strict] [fast] factor must be > 0",HIGH,false,B,,
flow-lang/StandardLibrary/Patterns/PatternFunctions.cs,229,slow,patterns,"[strict] [slow] factor must be > 0",HIGH,false,B,,
flow-lang/StandardLibrary/Patterns/PatternFunctions.cs,301,chunk,patterns,"[strict] [chunk] n must be > 0",HIGH,false,B,,
flow-lang/StandardLibrary/Patterns/PatternFunctions.cs,376,phase,patterns,"[strict] [phase] offset is NaN — using 0",HIGH,false,B,,
flow-lang/StandardLibrary/Patterns/PatternFunctions.cs,409,rev,patterns,"[strict] [rev] empty sequence",HIGH,false,B,,
